id,cat,r,g,b
1,Corn,255,212,0
2,Cotton,255,38,38
3,Rice,0,168,230
4,Sorghum,255,158,12
5,Soybeans,38,112,0
6,Sunflower,255,255,0
10,Peanuts,112,166,0
11,Tobacco,0,176,76
12,Sweet Corn,222,166,12
13,Pop or Orn Corn,222,166,12
14,Mint,128,212,255
21,Barley,227,0,125
22,Durum Wheat,138,99,84
23,Spring Wheat,217,181,107
24,Winter Wheat,166,112,0
25,Other Small Grains,215,158,189
26,Dbl Crop WinWht/Soybeans,112,112,0
27,Rye,174,0,125
28,Oats,161,89,138
29,Millet,112,0,74
30,Speltz,215,158,189
31,Canola,209,255,0
32,Flaxseed,128,153,255
33,Safflower,215,215,0
34,Rape Seed,209,255,0
35,Mustard,0,176,76
36,Alfalfa,255,166,227
37,Other Hay/Non Alfalfa,166,243,140
38,Camelina,0,176,76
39,Buckwheat,215,158,189
41,Sugarbeets,168,0,230
42,Dry Beans,166,0,0
43,Potatoes,112,38,0
44,Other Crops,0,176,76
45,Sugarcane,179,128,255
46,Sweet Potatoes,112,38,0
47,Misc Vegs & Fruits,255,102,102
48,Watermelons,255,102,102
49,Onions,255,204,102
50,Cucumbers,255,102,102
51,Chick Peas,0,176,76
52,Lentils,0,222,176
53,Peas,84,255,0
54,Tomatoes,243,163,120
55,Caneberries,255,102,102
56,Hops,0,176,76
57,Herbs,128,212,255
58,Clover/Wildflowers,232,192,255
59,Sod/Grass Seed,176,255,222
60,Switchgrass,0,176,76
61,Fallow/Idle Cropland,192,192,120
62,Pasture/Grass,232,255,192
63,Forest,148,204,148
64,Shrubland,199,215,158
65,Barren,204,192,163
66,Cherries,255,0,255
67,Peaches,255,143,171
68,Apples,186,0,79
69,Grapes,112,69,138
70,Christmas Trees,0,120,120
71,Other Tree Crops,179,156,112
72,Citrus,255,255,128
74,Pecans,181,112,92
75,Almonds,0,166,130
76,Walnuts,235,215,176
77,Pears,179,156,112
81,Clouds/No Data,243,243,243
82,Developed,156,156,156
83,Water,76,112,163
87,Wetlands,128,179,179
88,Nonag/Undefined,232,255,192
92,Aquaculture,0,255,255
111,Open Water,76,112,163
112,Perennial Ice/Snow,212,227,250
121,Developed/Open Space,194,194,194
122,Developed/Low Intensity,156,156,156
123,Developed/Med Intensity,117,117,117
124,Developed/High Intensity,76,76,76
131,Barren,204,192,163
141,Deciduous Forest,163,212,163
142,Evergreen Forest,89,176,89
143,Mixed Forest,117,189,117
152,Shrubland,199,215,158
171,Grassland Herbaceous,232,255,192
181,Pasture/Hay,232,255,192
190,Woody Wetlands,94,158,158
195,Herbaceous Wetlands,158,197,197
204,Pistachios,0,255,140
205,Triticale,215,158,189
206,Carrots,255,102,102
207,Asparagus,255,102,102
208,Garlic,255,102,102
209,Cantaloupes,255,102,102
210,Prunes,255,143,171
211,Olives,51,74,51
212,Oranges,230,112,38
213,Honeydew Melons,255,102,102
214,Broccoli,255,102,102
216,Peppers,255,102,102
217,Pomegranates,179,156,112
218,Nectarines,255,143,171
219,Greens,255,102,102
220,Plums,255,143,171
221,Strawberries,255,102,102
222,Squash,255,102,102
223,Apricots,255,143,171
224,Vetch,0,176,76
225,Dbl Crop WinWht/Corn,255,212,0
226,Dbl Crop Oats/Corn,255,212,0
227,Lettuce,255,102,102
229,Pumpkins,255,102,102
230,Dbl Crop Lettuce/Durum Wht,138,99,84
231,Dbl Crop Lettuce/Cantaloupe,255,102,102
232,Dbl Crop Lettuce/Cotton,255,38,38
233,Dbl Crop Lettuce/Barley,227,0,125
234,Dbl Crop Durum Wht/Sorghum,255,158,12
235,Dbl Crop Barley/Sorghum,255,158,12
236,Dbl Crop WinWht/Sorghum,166,112,0
237,Dbl Crop Barley/Corn,255,212,0
238,Dbl Crop WinWht/Cotton,166,112,0
239,Dbl Crop Soybeans/Cotton,38,112,0
240,Dbl Crop Soybeans/Oats,38,112,0
241,Dbl Crop Corn/Soybeans,255,212,0
242,Blueberries,0,0,153
243,Cabbage,255,102,102
244,Cauliflower,255,102,102
245,Celery,255,102,102
246,Radishes,255,102,102
247,Turnips,255,102,102
248,Eggplants,255,102,102
249,Gourds,255,102,102
250,Cranberries,255,102,102
254,Dbl Crop Barley/Soybeans,38,112,0
