id,cat,r,g,b
91,NB1,104,104,104
92,NB2,225,225,225
93,NB3,255,237,237
98,NB8,0,14,214
99,NB9,77,110,112
101,GR1,255,235,190
102,GR2,255,211,115
103,GR3,255,236,139
104,GR4,255,255,115
105,GR5,245,222,41
106,GR6,230,230,64
107,GR7,205,198,115
108,GR8,139,134,78
109,GR9,168,112,0
121,GS1,255,170,0
122,GS2,255,167,127
123,GS3,255,99,0
124,GS4,205,102,0
141,SH1,215,194,158
142,SH2,215,176,158
143,SH3,205,137,102
144,SH4,137,90,68
145,SH5,205,170,102
146,SH6,237,112,68
147,SH7,205,125,57
148,SH8,168,56,0
149,SH9,115,26,0
161,TU1,233,255,190
162,TU2,170,255,0
163,TU3,180,215,158
164,TU4,112,168,0
165,TU5,38,115,0
181,TL1,190,255,232
182,TL2,0,255,197
183,TL3,190,210,255
184,TL4,123,104,238
185,TL5,190,232,255
186,TL6,0,197,255
187,TL7,0,132,168
188,TL8,0,92,230
189,TL9,77,110,145
201,SB1,232,190,255
202,SB2,197,0,255
203,SB3,255,190,232
204,SB4,255,127,127
