id,cat,r,g,b
0,None,0,0,0
11,Open Water,0,0,255
12,Snow-Ice,159,161,240
13,Developed-Upland Deciduous Forest,52,52,52
14,Developed-Upland Evergreen Forest,52,52,52
15,Developed-Upland Mixed Forest,52,52,52
16,Developed-Upland Herbaceous,52,52,52
17,Developed-Upland Shrubland,52,52,52
18,Developed-Herbaceous Wetland Vegetation,52,52,52
19,Developed-Woody Wetland Vegetation,52,52,52
20,Developed-General,52,52,52
21,Developed-Open Space,52,52,52
22,Developed-Low Intensity,52,52,52
23,Developed-Medium Intensity,52,52,52
24,Developed-High Intensity,52,52,52
25,Developed-Roads,255,255,255
31,Barren,191,191,191
32,Quarries-Strip Mines-Gravel Pits,191,191,191
60,NASS-Orchard,255,210,119
61,NASS-Vineyard,255,210,119
62,NASS-Bush fruit and berries,255,210,119
63,NASS-Row Crop-Close Grown Crop,255,210,119
64,NASS-Row Crop,255,210,119
65,NASS-Close Grown Crop,255,210,119
66,NASS-Fallow/Idle Cropland,255,210,119
67,NASS-Pasture and Hayland,255,210,119
75,Herbaceous Semi-dry,127,56,255
76,Herbaceous Semi-wet,127,56,255
78,Recently Disturbed Forest,127,56,43
80,Agriculture-General,255,255,119
81,Agriculture-Pasture and Hay,255,255,119
82,Agriculture-Cultivated Crops and Irrigated Agriculture,255,255,119
83,Agriculture-Small Grains,255,255,119
84,Agriculture-Fallow,255,255,119
85,Agriculture-Urban and Recreational Grasses,255,255,119
95,Herbaceous Wetlands,127,143,255
200,Unclassified Sparsely Vegetated Systems,0,0,0
201,Unclassified Forest and Woodland,0,0,0
202,Unclassified Shrubland,0,0,0
203,Unclassified Upland Herbaceous,0,0,0
204,Unclassified Savanna,0,0,0
205,Unclassified Shrub-Steppe,0,0,0
206,Unclassified Grassland,0,0,0
207,Unclassified Wetland-Riparian Herbaceous,0,0,0
2001,Inter-Mountain Basins Sparsely Vegetated Systems,100,100,100
2002,Mediterranean California Sparsely Vegetated Systems,100,100,100
2003,North Pacific Sparsely Vegetated Systems,100,100,100
2004,North American Warm Desert Sparsely Vegetated Systems,100,100,100
2005,Pacific Coastal Dunes and Other Sparsely Vegetated Systems,100,100,100
2006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,100
2007,Western Great Plains Sparsely Vegetated Systems,100,100,100
2008,North Pacific Oak Woodland,203,255,171
2009,Northwestern Great Plains Aspen Forest and Parkland,192,255,138
2010,Northern Rocky Mountain Western Larch Savanna,180,255,148
2011,Rocky Mountain Aspen Forest and Woodland,192,255,138
2012,Rocky Mountain Bigtooth Maple Ravine Woodland,171,255,138
2013,Western Great Plains Dry Bur Oak Forest and Woodland,6,53,122
2014,Central and Southern California Mixed Evergreen Woodland,145,255,115
2015,California Coastal Redwood Forest,135,255,105
2016,Colorado Plateau Pinyon-Juniper Woodland,121,255,94
2017,Columbia Plateau Western Juniper Woodland and Savanna,108,255,82
2018,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,96,255,71
2019,Great Basin Pinyon-Juniper Woodland,78,255,59
2020,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,63,255,46
2021,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,42,255,31
2022,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,224,252,192
2023,Madrean Encinal,0,237,0
2024,Madrean Lower Montane Pine-Oak Forest and Woodland,0,237,0
2025,Madrean Pinyon-Juniper Woodland,121,255,94
2026,Madrean Upper Montane Conifer-Oak Forest and Woodland,0,237,0
2027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,0,222,0
2028,Mediterranean California Mesic Mixed Conifer Forest and Woodland,0,204,0
2029,Mediterranean California Mixed Oak Woodland,0,189,0
2030,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,0,189,0
2031,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,0,173,0
2032,Mediterranean California Red Fir Forest,0,158,0
2033,Mediterranean California Subalpine Woodland,0,145,0
2034,Mediterranean California Mesic Serpentine Woodland and Chaparral,224,252,192
2035,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,0,130,0
2036,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,0,117,0
2037,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,0,105,0
2038,North Pacific Maritime Mesic Subalpine Parkland,0,92,0
2039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,0,105,0
2040,North Pacific Mesic Western Hemlock-Yellow-cedar Forest,0,82,0
2041,North Pacific Mountain Hemlock Forest,0,92,0
2042,North Pacific Mesic Western Hemlock-Silver Fir Forest,0,71,0
2043,Mediterranean California Mixed Evergreen Forest,0,61,0
2044,Northern California Mesic Subalpine Woodland,0,92,0
2045,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,0,51,0
2046,Northern Rocky Mountain Subalpine Woodland and Parkland,191,255,233
2047,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,96,255,71
2048,Northwestern Great Plains Highland White Spruce Woodland,182,250,227
2049,Rocky Mountain Foothill Limber Pine-Juniper Woodland,174,245,224
2050,Rocky Mountain Lodgepole Pine Forest,163,240,219
2051,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,0,51,0
2052,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,0,204,0
2053,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,214,255,181
2054,Southern Rocky Mountain Ponderosa Pine Woodland,214,255,181
2055,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,236,252,204
2056,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,236,252,204
2057,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,63,255,46
2058,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,163,240,219
2059,Southern Rocky Mountain Pinyon-Juniper Woodland,121,255,94
2060,East Cascades Oak-Ponderosa Pine Forest and Woodland,214,255,181
2061,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,192,255,138
